"furniture shop","магазин мебели"
"We in socials", "Мы в соц. сетях"
"Site Design","Дизайн сайта"
"Menu","Меню"
"Contact with us","Связь с нами"
"Sign In","Войти"
"Password","Пароль"
"Forgot Your Password?","Забыли пароль?"
"Register","Зарегистрироваться"
"Reset Password","Восстановить пароль"
"To have your password reset, enter your email address below. We will then send an email containing a link to reset your password.","Чтобы сбросить пароль, введите адрес электронной почты ниже. Затем мы отправим электронное письмо со ссылкой для сброса пароля."
"First Name","Имя"
"Last Name","Фамилия"
"Confirm Password","Повторите пароль"
"Sent Email Successfully!","Письмо отправлено успешно!"
"Failed to Send Email!","Не удалось отправить письмо!"
"We received too many requests for password resets. Please wait and try again later.","Мы получили слишком много запросов на сброс пароля. Пожалуйста, подождите и повторите попытку позже."
"This is a required field.","Это обязательное поле."
"Register Successfully!","Регистрация прошла успешно!"
"Register Failed!","Ошибка регистрации!"
"You have created account successfully.","Вы успешно создали аккаунт."
"A customer with the same email address already exists in an associated website.","Пользователь с этим электронным адресом уже существует."
"Please enter the same value again.","Пожалуйста, введите то же значение снова."
"There is already an account with this email address. If you are sure that it is your email address, <a href='%1'>click here</a> to get your password and access your account.","Уже есть аккаунт с этим адресом электронной почты. Если вы уверены, что это ваш адрес электронной почты, <a href='%1'>нажмите здесь</a>, чтобы получить пароль и получить доступ к своей учетной записи."
"You have signed out and will go to our homepage. Please wait ...","Вы вышли из системы и перейдете на нашу домашнюю страницу. Пожалуйста, подождите ..."
"You have logged in successfully. Please wait ...","Вы успешно вошли в систему. Пожалуйста, подождите ..."
"Invalid login or password.","Неправильный логин или пароль."
"All catalog","Весь каталог"
"More","Подробнее"
"Search","Поиск"
"Latest News","Последние новости"
"ALL","Все"
"BLOG","Блог"
"Categories","Категории"
"Return back","Вернуться"
"News","Новости"
"Home","Главная"
"Show 11 more news","Показать еще 11 новостей"
"There are no posts at this moment","На данный момент в этой категории нет новостей"
"Super Prices","Супер цены"
"Products","Товары"
"Review","Отзыв"
"Reviews","Отзывы"
"Contacts","Контакты"
"Contact us","Связь с нами"
"Telephone","Телефон"
"Comment","Комментарий"
"Send","Отправить"
"You added %1 to your shopping cart.","Вы добавили %1 в Вашу корзину."
"Cart","Корзина"
"You have no items in your shopping cart.","У вас нет товаров в корзине."
"Cart Subtotal","Общая стоимость:"
"View Cart","Посмотреть Корзину"
"Continue Shopping","Продолжить Покупки"
"Proceed to Checkout","Оформить заказ"
"Add to Cart","Купить"
"You may be interested","Вас могут заинтересовать"
"Factory:","Фабрика:"
"Consists of %1 elements","Состоит из %1 элементов"
"You submitted your review for moderation.","Вы отправили свой отзыв на модерацию."
"Novelty","Новинка"
"Top Selling","Топ продаж"
"Action","Акция"
"In stock","В наличии"
"Out of stock","Нет в наличии"
"%1 products were selected","Подобрано %1 товаров"
"%1-%2 products from %3 were selected","Подобрано %1-%2 товаров из %3"
"Recent Added","Последние добавленые"
"Price - High to Low","Цена - по убыванию"
"Price - Low to High","Цена - по возрастанию"
"Folding:","Раскладной:"
"Niche for linen:","Ниша для белья:"
"Material:","Материал:"
"Color:","Цвет:"
"Checkout as a new customer","Оформить заказ как новый клиент"
"Close","Закрыть"
"Website developed by web studio","Сайт разработан веб студией"
"Subscribe to news","Подписатьса на новости"
"We are on social networks","Мы в социальных сетях"
"View all news","Посмотреть все новинки"
"Prev product","Предыдущий товар"
"Next product","Следующий товар"
"New","Новинка"
"Enter your email address","Введите свой e-mail"
"Subscribe","Подписатьса"
"Recently added product","Недавно добавлен товар"
"Details","Детали"
"Edit","Редактировать"
"Remove","Удалить"
"Customer Login","Вход или регистрация"
"New Customers","Новенький сдесь?"
"Registered Customers","Уже зарегестрированы?"
"If you have an account, sign in with your email address.","Если у вас есть аккаунт, пожалуйста, войдите."
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Создание учетной записи имеет много преимуществ: оформление заказа быстрее, сохранение более одного адреса, отслеживание заказов и многое другое."
"Create an Account","Регистрация"
"* Required Fields","* Обязательные поля"
"Price","Цена"
"Shopping Options","Параметры покупки"
"Sort By","Сортировать"
"Position","Позиция"
"Product Name","Имя товара"
"Shop By","Фильтр"
"Category","Категория"
"Compare Products","Сравните товары"
"You have no items to compare.","У вас нету единиц для сравнения."
"My Wish List","Мои пожелания"
"You have no items in your wish list.","У вас нету единиц в списке пожелань."
"Now Shopping by","Выбраные параметры"
"Remove This Item","Удалить"
"Clear All","Сбросить фильтр"
"Cheaper at first","От дешевых к дорогим"
"Initially more expensive","От дорогих к дешевым"
"By rating","За рейтингом"
"SKU","Код товара"
"Reviews %1","Отзывы"
"Add to Wish List","В список пожеланий"
"Add to Compare","В сравнения"
"Related product","Рекомендуемые товары"
"Size grid","Размерная сетка"
"Product description","Описание товара"
"Your Rating","Оценить"
"Nickname","Имя"
"Submit Review","Вслать отзыв"
"Contact Us","Контакты"
"Submit","Отправить"
"Name","Имя"
"Phone Number","Телефон"
"What’s on your mind?","Коментарий"
"Contact with us","Связатьса с нами"
"* Required fields","* Обязательные поля"
"Search results for: '%1'","Результаты поиска"
"Shipping Address","Ваши даные"
"Add To Cart","Добавить в корзину"
"Exit","Виход"
"Registration is free and easy!","Регистрация безплатная и простая!"
"Faster order","Быстрый заказ"
"Save multiple shipping addresses","Сохранение нескольких адресов доставки"
"View and track your order and more.","Пересмотр и остлеживание заказа и много еще."
"Personal Information","Личные даные"
"Sign Up for Newsletter","Подписатьса на россылку"
"Create New Customer Account","Регистрация"
"Sign-in Information","Информация входа"
"Back","Назад"
"Forgot Your Password","Забыли свой пароль"
"Please enter your email address below to receive a password reset link.","Пожалуйста, введите свой адрес электронной почты ниже, чтобы получить ссылку для сброса пароля."
"Please type the letters and numbers below","Пожалуйста, введите буквы и цифры ниже"
"Reset My Password","Сбросить мой пароль"
"Go back","Вернутьса"
"My Account","Мой аккаунт"
"My Orders","Мои заказы"
"My Downloadable Products","Мои загружаемые продукты"
"Address Book","Адресная книга"
"Account Information","Информация по аккаунту"
"Stored Payment Methods","Сохранённые методы оплаты"
"Billing Agreements","Соглашения о выставлении счетов"
"My Product Reviews","Мои отзывы"
"Newsletter Subscriptions","Подписка на рассылку"
"Contact Information","Контактная информация"
"Change Password","Сменить пароль"
"Newsletters","Подписки"
"You aren't subscribed to our newsletter.","Вы не подписаны на нашу рассылку."
"Manage Addresses","Управление адресами"
"Default Billing Address","Платёжный адрес по умолчанию"
"You have not set a default billing address.","Вы не установили платежный адрес по умолчанию."
"Edit Address","Редактировать адрес"
"Default Shipping Address","Адрес доставки по умолчанию"
"You have not set a default shipping address.","Вы не установили адрес доставки по умолчанию."
"Change Email","Сменить Email"
"Save","Сохранить"
"Current Password","Текущий пароль"
"New Password","Новый пароль"
"Confirm New Password","Подтвердите новый пароль"
"Subscription option","Вариант подписки"
"General Subscription","Общая подписка"
"Company","Компания"
"Add New Address","Добавить новый адрес"
"Address","Адрес"
"Street Address","Улица"
"City","Город"
"State/Province","Область/регион"
"Zip/Postal Code","Почтовый индекс"
"Country","Страна"
"Save Address","Сохранить адрес"
"Edit Account Information","Редиктирование информации по акаунту"
"Newsletter Subscription","Подписка"
"Please select a region, state or province.","Сделайте свой выбор"
"My Recent Reviews","Мои последние отзывы"
"View All","Посмотреть все"
"Rating","Рейтинг"
"Created","Написано"
"See Details","Подробности"
"Update Wish List","Оновить список пожеланий"
"Add All to Cart","Добавить усе в корзину"
"Remove item","Удалить"
"You have placed no orders.","У Вас еще нету заказов."
"You have not purchased any downloadable products yet.","Вы еще не купили загружаемые продукты."
"'%1' has been removed from your Wish List.","удалён из списка пожеланий."
"You have no stored payment methods.","У вас нет сохраненных способов оплаты."
"There are no billing agreements yet.","Договоров пока нету"
"Recommended","Рекомендуемые"
"There are no posts at this moment","На данный момент нет сообщений"
"Read More","Подробнее"
"Tags: %1","Теги:"
"Show more results","Показать еще больше результатов"
"No Result","Нет результатов"
"This is a required field.","Это обязательное поле."
"Popular","Популярные"
"The requested qty is not available","Такое количество не доступно"
"You must login or register to add items to your wishlist.","Вы должны войти в систему или зарегистрироваться, чтобы добавить элементы в свой список пожеланий."
"Change Email and Password","Изменить адрес электронной почты и пароль"
"You are signed out","Вы выйшли из системы"
"You added product %1 to the ","Вы добавили товар %1 в"
"comparison list","Сравнения"
"You added product %1 to the <a href=""%2"">comparison list</a>.","Вы добавили товар %1 в <a href="%2">сравнения</a>"
"You added %1 to your <a href=""%2"">shopping cart</a>.","Вы добавили товар %1 в <a href=""%2"">корзину</a>."
"Adding...","Добавление"
"You removed product %1 from the comparison list.","Вы удалили товар %1 из сравнения."
"Are you sure you want to remove this item from your Compare Products list?","Вы уверены, что хотите удалить этот элемент из списка товаров для сравнения?"
"Cancel","Отменить"
"Your search returned no results.","Ваш запрос не дал результатов"
"Please enter a valid email address (Ex: johndoe@domain.com).","Пожалуйста, введите действительный адрес электронной почты."
"The quote item isn't found. Verify the item and try again.","Элемент не найден. Проверьте пункт и попробуйте снова."
"Click ","Нажмите"
"Shopping Cart","Корзина"
"Already have an account? Click here to login","Уже есть аккаунт? Нажмите здесь, чтобы войти"
"Create account","Создайте аккаунт"
"Email Address","Электронная почта"
"Shipping Methods","Метод доставки"
"Payment Methods","Способ оплаты"
"Order Summary","К оплате:"
"Qty","Количество"
"Subtotal","Товаров на суму:"
"Apply Discount Code","Код скидки"
"Enter discount code","Применить промокод"
"Shipping","Доставка:"
"Not yet calculated","-"
"Order Total","Всего:"
"Apply Discount","Применить"
"Place Order","Заказать"
"You are subscribed to "General Subscription".","Вы неподписаны на общую подписку."
"Recent Orders","Последние заказы"
"Order #","Заказ #"
"Date","Дата"
"Ship To","Получатель"
"Status","Статус"
"Pending","В ожидании"
"Reorder","Перезаказать"
"View Order","Посмотреть"
"Default Addresses","Адреса по умолчанию"
"Additional Address Entries","Дополнительные записи адреса"
"State","Район"
"Phone","Телефон"
"Delete","Удалить"
"Thank you for your purchase!","Спасибо за покупку!"
"Your order # is: %1","Ваш номер заказа: %1"
"We'll email you an order confirmation with details and tracking info.","Мы вышлем вам подтверждение заказа с подробной информацией и информацией для отслеживания."
"Apply Filters","Применить"
"Total value of goods in the basket","Общая стоимость товара в корзине"
"To order","Оформить заказ"
"Contact details","Контактная информация"
"Delivery method","Метод доставки"
"My order","Мой заказ"
"Enter the account and we will automatically fill in your contact details and save the order data in your account","Войдите в аккаунт, и мы автоматически введем ваши контактные данные и сохраним данные заказа в вашем аккаунте."
"Login","Вход"
"Add promo code","Добавить промо-код"
"Payment Method","Метод оплаты"
"No Payment Information Required","Информация об оплате не требуется"
"View Details","Подробнее"
"Shipping to","Доставка"
"To the warehouse","В отделение"
"Warehouse","Отделение"
"Courier to the address","Курьер по адресу"
"Your order # is:","Ваш заказ №: "
"Your order # is: <span>%1</span>.","Ваш заказ №: <span>%1</span>"
"Top sale","Топ продаж"
"Actions","Акции"
"Search entire store here...","Поиск..."
"My Cart","Корзина"
"Find out first about promotions, discounts and news","Узнайте первыми об акциях, скидках и новостях"
"Piece packing","Упаковка, шт"
"Price piece packing","Цена за ед., грн"
"Price package","Цена за ящик, грн"
"SKU","Артикул"
"Weight packing","Вес упаковки, кг:"
"Qty product","Количество товара"
"Multiple sales to packages","Продажа кратно упаковкам"
"Read more","Читать дальше"
"Delivery and payment","Оплата та доставка"
"Characteristic","Характеристики"
"Review about product","Отзыв про товар"
"If the order is missing or incomplete, we recommend leaving a claim, not a review. So we can help you faster.","Если в заказе оказался брак или некомплект, рекомендуем оставить претензию, а не отзыв. Так мы быстрее сможем вам помочь."
"Your name","Ваше имя"
"All reviews are moderated according to the rules","Отзывы проходят модерацию согласно правилам"
"leave a review","Оставить отзыв"
"You may also be interested in","Также вас может заинтересовать"
"Read more","Читать далее"
"We'll call you very soon, wait plese.","Мы скоро вам позвоним, подождите, пожалуйста."
"Сall you?","Вам перезвонить?"
"Contact telephones","Контактные телефоны"
"Graph robots call + center:","График работы колл центра:"
"Mon - Fri 8.30am - 5.30pm","Пн - Пт 8:30 - 17:30"
"feedback","Обратная связь"
"In cart","В корзине"
"To pay:","К оплате"
"Continue shopping","Продолжить покупки"
"View and Edit Cart","Посмотреть корзину"
"Price Package","Цена за упаковку, грн"
"Price Piece Packing","Цена за единицу, грн"
"Piece Packing","Количество в упаковке, шт:"
"products","товаров"
"Total weight, kg","Общий вес, кг"
"Qty packing","Количество упаковок"
"Qty piece","Общее количество ед."
"Sum","Сумма, грн"
"Warehouse Address","Отделение"
"By clicking the","Нажав на"
"Place order","Оформить заказ"
"button you agree to the processing of your personal data, application-related, and marketing goals. More","Вы соглашаетесь на обработку Ваших персональных данных, связанных с выполнением заявки, а также маркетинговых целей. Подробнее"
"Agreement","Соглашение"
"Your order # is: ","Ваш заказ №: "
"You can track your order status by creating an account.","Вы можете отслеживать статус вашего заказа, создав учетную запись."
"Enter your email address","Впишите свой электронный адрес"
"Subscribe","Подписаться"
"Total %1","Всего %1"
"Sort by","Сортировать"
"Forward","Вперед"
"Back","Назад"
"Call mee","Передзвоните мне"
"Sku:","Артикул:"
"Filter","Фильтр"
"Total","Сумма, грн"
"Clear Shopping Cart","Очистить корзину"
"Product","Товар"
"Summary","К оплате:"
"Payment Methods","Метод оплаты"
"Added","Додано"
"Registration","Регистрация"
"Unless you are a registered user","Если Вы не зарегистрированы"
"Or sign in with:","Войти с помощью:"
"Sign up","Регистрация"
"If you are a registered user","Если Вы зарегистрированный пользователь"
"I consent to the processing of my personal data","Я предоставляю согласие на обработку моих персональных данных"
"Company Name","Название компании"
"Personal data","Личные даные"
"Sign out","Выход"
"Fields are required","Поля обязательные для заполнения"
"SUM","Сумма"
